,Name,Type,Cuisine,PODN
198,Fat,bad,Irish,37.41938000000003
199,Phosphorus,good,European,37.396279999999976
200,Alcohol,bad,Nordic,37.39472222222222
201,Copper,good,Mediterranean,37.22359999999999
202,Vitamin B3,good,Vietnamese,37.18547094188378
203,Vitamin K,good,Eastern European,36.979014084507064
204,Manganese,good,Irish,36.831080000000014
205,Saturated Fat,bad,Caribbean,36.76556000000001
206,Vitamin B12,good,Indian,36.731339712918654
207,Vitamin B6,good,Caribbean,36.31345814977972
208,Sodium,bad,American,36.292199999999994
209,Phosphorus,good,Thai,36.18524000000003
210,Saturated Fat,bad,Italian,36.09843999999997
211,Zinc,good,Eastern European,36.057079999999985
212,Fiber,good,European,36.05056224899599
213,Potassium,good,American,36.03334000000003
214,Saturated Fat,bad,African,36.00852941176467
215,Cholesterol,bad,Spanish,36.00723999999999
216,Vitamin B1,good,American,35.993320000000004
217,Alcohol,bad,Caribbean,35.974333333333334
218,Vitamin B12,good,Korean,35.96430025445295
219,Sodium,bad,Southern,35.69320000000002
220,Sodium,bad,Mediterranean,35.64622000000003
221,Fat,bad,French,35.550620000000016
222,Phosphorus,good,Indian,35.47747999999999
223,Cholesterol,bad,Eastern European,35.39822000000004
224,Phosphorus,good,Chinese,35.39601202404806
225,Phosphorus,good,Spanish,35.30788000000001
226,Sodium,bad,French,35.30576000000001
227,Fiber,good,Mediterranean,35.25784708249496
228,Cholesterol,bad,French,35.17541999999999
229,Vitamin C,good,Jewish,35.074523809523804
230,Saturated Fat,bad,Korean,34.932599999999965
231,Vitamin B12,good,Eastern European,34.78157427937916
232,Vitamin B12,good,Thai,34.611493506493524
233,Vitamin B6,good,African,34.60070588235293
234,Fat,bad,British,34.49570000000001
235,Folate,good,French,34.487259999999985
236,Sodium,bad,Latin American,34.45556
237,Sodium,bad,African,34.41629411764707
238,Sodium,bad,European,34.23364000000003
239,Vitamin B3,good,Spanish,34.11364000000002
240,Saturated Fat,bad,Spanish,33.94958000000001
241,Fat,bad,Eastern European,33.84791999999997
242,Potassium,good,European,33.823399999999964
243,Cholesterol,bad,German,33.69967999999997
244,Fat,bad,Southern,33.67040000000001
245,Selenium,good,Nordic,33.58761772853185
246,Vitamin A,good,British,33.56737068965518
247,Fat,bad,Spanish,33.56619999999999
248,Vitamin B12,good,Cajun,33.54041450777205
249,Selenium,good,Indian,33.33933467741937
250,Vitamin B3,good,European,33.1997
251,Vitamin B12,good,Southern,33.16515942028983
252,Phosphorus,good,Korean,33.09962000000003
253,Potassium,good,Indian,33.060879999999976
254,Fiber,good,Italian,33.0105220883534
255,Vitamin B6,good,Vietnamese,32.992959999999975
256,Zinc,good,Irish,32.89957999999999
257,Vitamin B3,good,Mediterranean,32.87782000000001
